caldt,vwretd
03/31/1992,-0.019470
04/30/1992,0.028614
05/29/1992,0.004850
06/30/1992,-0.015030
07/31/1992,0.040924
08/31/1992,-0.020615
09/30/1992,0.011340
10/30/1992,0.004796
11/30/1992,0.033794
12/31/1992,0.013380
01/29/1993,0.007282
02/26/1993,0.013526
03/31/1993,0.021202
04/30/1993,-0.024519
05/28/1993,0.026259
06/30/1993,0.003466
07/30/1993,-0.004593
08/31/1993,0.037431
09/30/1993,-0.007582
10/29/1993,0.019884
11/30/1993,-0.008655
12/31/1993,0.012646
01/31/1994,0.033429
02/28/1994,-0.027161
03/31/1994,-0.043456
04/29/1994,0.012817
05/31/1994,0.016309
06/30/1994,-0.024762
07/29/1994,0.032714
08/31/1994,0.041341
09/30/1994,-0.023940
10/31/1994,0.022619
11/30/1994,-0.036248
12/30/1994,0.014955
01/31/1995,0.026000
02/28/1995,0.039228
03/31/1995,0.029334
04/28/1995,0.029395
05/31/1995,0.039809
06/30/1995,0.024155
07/31/1995,0.033405
08/31/1995,0.003495
09/29/1995,0.042102
10/31/1995,-0.003442
11/30/1995,0.044179
12/29/1995,0.017643
01/31/1996,0.034861
02/29/1996,0.010088
03/29/1996,0.009585
04/30/1996,0.015133
05/31/1996,0.025257
06/28/1996,0.004128
07/31/1996,-0.044441
08/30/1996,0.021928
09/30/1996,0.056035
10/31/1996,0.026798
11/29/1996,0.076455
12/31/1996,-0.019815
01/31/1997,0.062779
02/28/1997,0.007752
03/31/1997,-0.041653
04/30/1997,0.060274
05/30/1997,0.061401
06/30/1997,0.044103
07/31/1997,0.080388
08/29/1997,-0.054970
09/30/1997,0.053886
10/31/1997,-0.032605
11/28/1997,0.046321
12/31/1997,0.017147
01/30/1998,0.011994
02/27/1998,0.071956
03/31/1998,0.051336
04/30/1998,0.011275
05/29/1998,-0.017674
06/30/1998,0.040970
07/31/1998,-0.010109
08/31/1998,-0.143124
09/30/1998,0.063176
10/30/1998,0.080111
11/30/1998,0.062164
12/31/1998,0.059673
01/29/1999,0.042800
02/26/1999,-0.031935
03/31/1999,0.038979
04/30/1999,0.037559
05/28/1999,-0.023159
06/30/1999,0.054431
07/30/1999,-0.030220
08/31/1999,-0.004989
09/30/1999,-0.028079
10/29/1999,0.064238
11/30/1999,0.020822
12/31/1999,0.062579
01/31/2000,-0.049606
02/29/2000,-0.017459
03/31/2000,0.098492
04/28/2000,-0.031585
05/31/2000,-0.022304
06/30/2000,0.026219
07/31/2000,-0.012795
08/31/2000,0.062594
09/29/2000,-0.052088
10/31/2000,-0.004120
11/30/2000,-0.078268
12/29/2000,0.005720
01/31/2001,0.032375
02/28/2001,-0.090952
03/30/2001,-0.063706
04/30/2001,0.077825
05/31/2001,0.006870
06/29/2001,-0.024506
07/31/2001,-0.009317
08/31/2001,-0.063435
09/28/2001,-0.080361
10/31/2001,0.019540
11/30/2001,0.078787
12/31/2001,0.009051
01/31/2002,-0.014324
02/28/2002,-0.019481
03/28/2002,0.037572
04/30/2002,-0.061001
05/31/2002,-0.007800
06/28/2002,-0.071349
07/31/2002,-0.073987
08/30/2002,0.007061
09/30/2002,-0.108965
10/31/2002,0.088599
11/29/2002,0.059019
12/31/2002,-0.058834
01/31/2003,-0.026579
02/28/2003,-0.015246
03/31/2003,0.010308
04/30/2003,0.082774
05/30/2003,0.053251
06/30/2003,0.012816
07/31/2003,0.017932
08/29/2003,0.019597
09/30/2003,-0.010737
10/31/2003,0.055560
11/28/2003,0.009259
12/31/2003,0.051780
01/30/2004,0.019078
02/27/2004,0.014403
03/31/2004,-0.014982
04/30/2004,-0.015584
05/28/2004,0.013629
06/30/2004,0.019488
07/30/2004,-0.032954
08/31/2004,0.003807
09/30/2004,0.010817
10/29/2004,0.014973
11/30/2004,0.040559
12/31/2004,0.033734
01/31/2005,-0.023824
02/28/2005,0.021152
03/31/2005,-0.017240
04/29/2005,-0.018926
05/31/2005,0.031994
06/30/2005,0.001717
07/29/2005,0.037364
08/31/2005,-0.009159
09/30/2005,0.008067
10/31/2005,-0.015672
11/30/2005,0.038289
12/30/2005,-0.000060
01/31/2006,0.026442
02/28/2006,0.002425
03/31/2006,0.012909
04/28/2006,0.012064
05/31/2006,-0.028319
06/30/2006,0.001587
07/31/2006,0.005571
08/31/2006,0.024150
09/29/2006,0.026487
10/31/2006,0.032527
11/30/2006,0.018385
12/29/2006,0.013768
01/31/2007,0.015313
02/28/2007,-0.019288
03/30/2007,0.010894
04/30/2007,0.043991
05/31/2007,0.034459
06/29/2007,-0.016620
07/31/2007,-0.031197
08/31/2007,0.015094
09/28/2007,0.037468
10/31/2007,0.017360
11/30/2007,-0.041382
12/31/2007,-0.006116
01/31/2008,-0.061166
02/29/2008,-0.031419
03/31/2008,-0.003400
04/30/2008,0.048629
05/30/2008,0.012986
06/30/2008,-0.082842
07/31/2008,-0.007306
08/29/2008,0.014955
09/30/2008,-0.085467
10/31/2008,-0.166980
11/28/2008,-0.073512
12/31/2008,0.011995
01/30/2009,-0.082615
02/27/2009,-0.103588
03/31/2009,0.087634
04/30/2009,0.094230
05/29/2009,0.054640
06/30/2009,0.002476
07/31/2009,0.074482
08/31/2009,0.034751
09/30/2009,0.036534
10/30/2009,-0.018259
11/30/2009,0.060257
12/31/2009,0.018983
01/29/2010,-0.035751
02/26/2010,0.030424
03/31/2010,0.061014
04/30/2010,0.015977
05/28/2010,-0.080111
06/30/2010,-0.053525
07/30/2010,0.070451
08/31/2010,-0.045434
09/30/2010,0.090383
10/29/2010,0.038726
11/30/2010,-0.000051
12/31/2010,0.067054
01/31/2011,0.023349
02/28/2011,0.032508
03/31/2011,0.000625
04/29/2011,0.029441
05/31/2011,-0.011313
06/30/2011,-0.016545
07/29/2011,-0.019828
08/31/2011,-0.054322
09/30/2011,-0.070238
10/31/2011,0.109014
11/30/2011,-0.002727
12/30/2011,0.009427
01/31/2012,0.045205
02/29/2012,0.043340
03/30/2012,0.032866
04/30/2012,-0.006034
05/31/2012,-0.059790
06/29/2012,0.041465
07/31/2012,0.014363
08/31/2012,0.022744
09/28/2012,0.025120
10/31/2012,-0.017837
11/30/2012,0.005326
12/31/2012,0.008508
01/31/2013,0.052361
02/28/2013,0.013013
03/28/2013,0.037584
04/30/2013,0.019621
05/31/2013,0.023120
06/28/2013,-0.013601
07/31/2013,0.050672
08/30/2013,-0.029207
09/30/2013,0.031660
10/31/2013,0.046268
11/29/2013,0.030817
12/31/2013,0.025950
01/31/2014,-0.034666
02/28/2014,0.045757
03/31/2014,0.008056
04/30/2014,0.006555
05/30/2014,0.023309
06/30/2014,0.020635
07/31/2014,-0.013974
08/29/2014,0.039777
09/30/2014,-0.013928
10/31/2014,0.023972
11/28/2014,0.027631
12/31/2014,-0.002473
01/30/2015,-0.029430
02/27/2015,0.057008
03/31/2015,-0.014993
04/30/2015,0.009100
05/29/2015,0.012522
06/30/2015,-0.019343
07/31/2015,0.021297
08/31/2015,-0.060086
09/30/2015,-0.024547
10/30/2015,0.083449
11/30/2015,0.003373
12/31/2015,-0.015247
01/29/2016,-0.049100
02/29/2016,-0.001742
03/31/2016,0.067340
04/29/2016,0.003747
05/31/2016,0.018487
06/30/2016,0.002675
07/29/2016,0.036571
08/31/2016,0.001247
09/30/2016,0.000446
10/31/2016,-0.017958
11/30/2016,0.035790
12/30/2016,0.019200
01/31/2017,0.019384
02/28/2017,0.039459
03/31/2017,0.001664
04/28/2017,0.010591
